[CRITICAL]2021-03-29 16:27:50,735: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:27:50,825: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:28:01,718: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:28:01,912: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:28:02,256: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:28:02,435: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:28:02,674: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:28:02,854: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=8168

[CRITICAL]2021-03-29 16:28:14,136: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:28:14,286: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:28:14,435: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:28:14,661: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:28:14,809: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:28:14,944: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=11884

[CRITICAL]2021-03-29 16:28:26,081: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:28:26,260: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:28:26,440: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:28:26,634: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:28:26,784: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=11248

[CRITICAL]2021-03-29 16:28:26,905: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=11248

